image_name,fen,view
game2_frame_001152_white_middle.png,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001172_black_middle.png,rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
game2_frame_001172_white_middle.png,rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001188_black_middle.png,rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
game2_frame_001188_white_middle.png,rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001216_black_middle.png,rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
game2_frame_001216_white_middle.png,rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001280_black_middle.png,rnbq1rk1/ppp1Bpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
game2_frame_001280_white_middle.png,rnbq1rk1/ppp1Bpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001300_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,black pieces closer to the camera
game2_frame_001300_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,white pieces closer to the camera
game2_frame_001740_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R,black pieces closer to the camera
game2_frame_001740_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R,white pieces closer to the camera
game2_frame_001916_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PPQ2PPP/R3KB1R,black pieces closer to the camera
game2_frame_001916_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PPQ2PPP/R3KB1R,white pieces closer to the camera
game2_frame_002000_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2Q1PN2/PP3PPP/R3KB1R,black pieces closer to the camera
game2_frame_002000_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2Q1PN2/PP3PPP/R3KB1R,white pieces closer to the camera
game2_frame_003100_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/8/2pP4/2Q1PN2/PP3PPP/R3KB1R,black pieces closer to the camera
game2_frame_003100_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/8/2pP4/2Q1PN2/PP3PPP/R3KB1R,white pieces closer to the camera
game2_frame_003308_black_middle.png,rnb2rk1/ppp1qpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,black pieces closer to the camera
game2_frame_003308_white_middle.png,rnb2rk1/ppp1qpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,white pieces closer to the camera
game2_frame_003328_black_middle.png,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,black pieces closer to the camera
game2_frame_003328_white_middle.png,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R,white pieces closer to the camera
game2_frame_003416_black_middle.png,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,black pieces closer to the camera
game2_frame_003416_white_middle.png,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,white pieces closer to the camera
game2_frame_004264_black_middle.png,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,black pieces closer to the camera
game2_frame_004264_white_middle.png,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1,white pieces closer to the camera
game2_frame_005044_black_middle.png,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_005044_white_middle.png,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_006092_black_middle.png,r1b2rk1/pp2qpp1/1np1p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_006092_white_middle.png,r1b2rk1/pp2qpp1/1np1p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_006368_black_middle.png,r1b2rk1/pp2qpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_006368_white_middle.png,r1b2rk1/pp2qpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_006532_black_middle.png,r4rk1/pp1bqpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_006532_white_middle.png,r4rk1/pp1bqpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_006568_black_middle.png,r4rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_006568_white_middle.png,r4rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_007000_black_middle.png,2r2rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_007000_white_middle.png,2r2rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_007728_black_middle.png,2r2rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_007728_white_middle.png,2r2rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_008952_black_middle.png,r4rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_008952_white_middle.png,r4rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_008988_black_middle.png,r4rk1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_008988_white_middle.png,r4rk1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_009384_black_middle.png,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,black pieces closer to the camera
game2_frame_009384_white_middle.png,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1,white pieces closer to the camera
game2_frame_009884_black_middle.png,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/P2P4/1B2P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_009884_white_middle.png,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/P2P4/1B2P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_010096_black_middle.png,r3r1k1/pp1bqpp1/2p1p2p/2QnN3/P2P4/1B2P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_010096_white_middle.png,r3r1k1/pp1bqpp1/2p1p2p/2QnN3/P2P4/1B2P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011140_black_middle.png,r3r1k1/pp1bqpp1/2p1p2p/2QBN3/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011140_white_middle.png,r3r1k1/pp1bqpp1/2p1p2p/2QBN3/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011456_black_middle.png,r3r1k1/pp1bqpp1/2p4p/2QpN3/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011456_white_middle.png,r3r1k1/pp1bqpp1/2p4p/2QpN3/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011696_black_middle.png,r3r1k1/pp1bQpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011696_white_middle.png,r3r1k1/pp1bQpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011712_black_middle.png,r5k1/pp1brpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011712_white_middle.png,r5k1/pp1brpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011740_black_middle.png,r5k1/pp1Nrpp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011740_white_middle.png,r5k1/pp1Nrpp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_011760_black_middle.png,r5k1/pp1r1pp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,black pieces closer to the camera
game2_frame_011760_white_middle.png,r5k1/pp1r1pp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1,white pieces closer to the camera
game2_frame_012092_black_middle.png,r5k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,black pieces closer to the camera
game2_frame_012092_white_middle.png,r5k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,white pieces closer to the camera
game2_frame_012864_black_middle.png,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,black pieces closer to the camera
game2_frame_012864_white_middle.png,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1,white pieces closer to the camera
game2_frame_013328_black_middle.png,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/5RK1,black pieces closer to the camera
game2_frame_013328_white_middle.png,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/5RK1,white pieces closer to the camera
game2_frame_013636_black_middle.png,2r3k1/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,black pieces closer to the camera
game2_frame_013636_white_middle.png,2r3k1/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,white pieces closer to the camera
game2_frame_013896_black_middle.png,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,black pieces closer to the camera
game2_frame_013896_white_middle.png,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1,white pieces closer to the camera
game2_frame_014132_black_middle.png,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,black pieces closer to the camera
game2_frame_014132_white_middle.png,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,white pieces closer to the camera
game2_frame_014180_black_middle.png,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,black pieces closer to the camera
game2_frame_014180_white_middle.png,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2,white pieces closer to the camera
game2_frame_014208_black_middle.png,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R1KPPP/2R5,black pieces closer to the camera
game2_frame_014208_white_middle.png,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R1KPPP/2R5,white pieces closer to the camera
game2_frame_014256_black_middle.png,2r5/ppr2pp1/2pk3p/3p4/PP1P4/4P3/2R1KPPP/2R5,black pieces closer to the camera
game2_frame_014256_white_middle.png,2r5/ppr2pp1/2pk3p/3p4/PP1P4/4P3/2R1KPPP/2R5,white pieces closer to the camera
game2_frame_014348_black_middle.png,2r5/ppr2pp1/2pk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,black pieces closer to the camera
game2_frame_014348_white_middle.png,2r5/ppr2pp1/2pk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,white pieces closer to the camera
game2_frame_014904_black_middle.png,2r5/p1r2pp1/1ppk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,black pieces closer to the camera
game2_frame_014904_white_middle.png,2r5/p1r2pp1/1ppk3p/3p4/PP1P4/3KP3/2R2PPP/2R5,white pieces closer to the camera
game2_frame_016592_black_middle.png,2r5/p1r2pp1/1ppk3p/3p4/PP1P2P1/3KP3/2R2P1P/2R5,black pieces closer to the camera
game2_frame_016592_white_middle.png,2r5/p1r2pp1/1ppk3p/3p4/PP1P2P1/3KP3/2R2P1P/2R5,white pieces closer to the camera
game2_frame_018764_black_middle.png,2r5/p1r2pp1/1p1k3p/2pp4/PP1P2P1/3KP3/2R2P1P/2R5,black pieces closer to the camera
game2_frame_018764_white_middle.png,2r5/p1r2pp1/1p1k3p/2pp4/PP1P2P1/3KP3/2R2P1P/2R5,white pieces closer to the camera
game2_frame_019352_black_middle.png,2r5/p1r2pp1/1p1k3p/2Pp4/PP4P1/3KP3/2R2P1P/2R5,black pieces closer to the camera
game2_frame_019352_white_middle.png,2r5/p1r2pp1/1p1k3p/2Pp4/PP4P1/3KP3/2R2P1P/2R5,white pieces closer to the camera
game2_frame_019384_black_middle.png,2r5/p1r2pp1/3k3p/2pp4/PP4P1/3KP3/2R2P1P/2R5,black pieces closer to the camera
game2_frame_019384_white_middle.png,2r5/p1r2pp1/3k3p/2pp4/PP4P1/3KP3/2R2P1P/2R5,white pieces closer to the camera
game2_frame_019936_black_middle.png,2r5/p1r2pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/2R5,black pieces closer to the camera
game2_frame_019936_white_middle.png,2r5/p1r2pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/2R5,white pieces closer to the camera
game2_frame_019988_black_middle.png,2r5/p4pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/8,black pieces closer to the camera
game2_frame_019988_white_middle.png,2r5/p4pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/8,white pieces closer to the camera
game2_frame_020048_black_middle.png,8/p4pp1/7p/2kp4/P5P1/3KP3/5P1P/8,black pieces closer to the camera
game2_frame_020048_white_middle.png,8/p4pp1/7p/2kp4/P5P1/3KP3/5P1P/8,white pieces closer to the camera
game2_frame_020064_black_middle.png,8/p4pp1/7p/2kp4/P5P1/2K1P3/5P1P/8,black pieces closer to the camera
game2_frame_020064_white_middle.png,8/p4pp1/7p/2kp4/P5P1/2K1P3/5P1P/8,white pieces closer to the camera
game2_frame_021900_black_middle.png,8/p4p2/7p/2kp2p1/P5P1/2K1P3/5P1P/8,black pieces closer to the camera
game2_frame_021900_white_middle.png,8/p4p2/7p/2kp2p1/P5P1/2K1P3/5P1P/8,white pieces closer to the camera
game2_frame_023676_black_middle.png,8/p4p2/7p/2kp2p1/P4PP1/2K1P3/7P/8,black pieces closer to the camera
game2_frame_023676_white_middle.png,8/p4p2/7p/2kp2p1/P4PP1/2K1P3/7P/8,white pieces closer to the camera
game2_frame_026928_black_middle.png,8/5p2/p6p/2kp2p1/P4PP1/2K1P3/7P/8,black pieces closer to the camera
game2_frame_026928_white_middle.png,8/5p2/p6p/2kp2p1/P4PP1/2K1P3/7P/8,white pieces closer to the camera
game2_frame_030388_black_middle.png,8/8/p4p1p/2kp1Pp1/P5P1/2K1P3/7P/8,black pieces closer to the camera
game2_frame_030388_white_middle.png,8/8/p4p1p/2kp1Pp1/P5P1/2K1P3/7P/8,white pieces closer to the camera
game2_frame_030604_black_middle.png,8/5p2/p6p/2kp1Pp1/P5P1/2K1P3/7P/8,black pieces closer to the camera
game2_frame_030604_white_middle.png,8/5p2/p6p/2kp1Pp1/P5P1/2K1P3/7P/8,white pieces closer to the camera
game2_frame_031032_black_middle.png,8/8/p4p1p/P1kp1Pp1/6P1/2K1P3/7P/8,black pieces closer to the camera
game2_frame_031032_white_middle.png,8/8/p4p1p/P1kp1Pp1/6P1/2K1P3/7P/8,white pieces closer to the camera
game2_frame_031140_black_middle.png,8/8/p4p1p/Pk1p1Pp1/3K2P1/4P3/7P/8,black pieces closer to the camera
game2_frame_031140_white_middle.png,8/8/p4p1p/Pk1p1Pp1/3K2P1/4P3/7P/8,white pieces closer to the camera
game2_frame_031332_black_middle.png,8/8/p4p1p/k2p1Pp1/3K2P1/4P3/7P/8,black pieces closer to the camera
game2_frame_031332_white_middle.png,8/8/p4p1p/k2p1Pp1/3K2P1/4P3/7P/8,white pieces closer to the camera
game2_frame_031664_black_middle.png,8/8/p4p1p/k2K1Pp1/6P1/4P3/7P/8,black pieces closer to the camera
game2_frame_031664_white_middle.png,8/8/p4p1p/k2K1Pp1/6P1/4P3/7P/8,white pieces closer to the camera
game2_frame_031800_black_middle.png,8/8/pk3p1p/3K1Pp1/6P1/4P3/7P/8,black pieces closer to the camera
game2_frame_031800_white_middle.png,8/8/pk3p1p/3K1Pp1/6P1/4P3/7P/8,white pieces closer to the camera
game4_frame_000028_black_middle.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,black pieces closer to the camera
game4_frame_000028_white_middle.png,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game4_frame_000604_black_middle.png,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR,black pieces closer to the camera
game4_frame_000604_white_middle.png,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR,white pieces closer to the camera
game4_frame_000628_black_middle.png,rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR,black pieces closer to the camera
game4_frame_000628_white_middle.png,rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR,white pieces closer to the camera
game4_frame_000760_black_middle.png,rnbqkb1r/pp1ppppp/8/3nP3/3P4/8/PP3PPP/RNBQKBNR,black pieces closer to the camera
game4_frame_000760_white_middle.png,rnbqkb1r/pp1ppppp/8/3nP3/3P4/8/PP3PPP/RNBQKBNR,white pieces closer to the camera
game4_frame_000820_black_middle.png,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/8/PP3PPP/RNBQKBNR,black pieces closer to the camera
game4_frame_000820_white_middle.png,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/8/PP3PPP/RNBQKBNR,white pieces closer to the camera
game4_frame_000848_black_middle.png,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R,black pieces closer to the camera
game4_frame_000848_white_middle.png,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R,white pieces closer to the camera
game4_frame_000892_black_middle.png,r1bqkb1r/pp2pppp/2np4/3nP3/2BP4/5N2/PP3PPP/RNBQK2R,black pieces closer to the camera
game4_frame_000892_white_middle.png,r1bqkb1r/pp2pppp/2np4/3nP3/2BP4/5N2/PP3PPP/RNBQK2R,white pieces closer to the camera
game4_frame_000924_black_middle.png,r1bqkb1r/pp2pppp/2n5/3np3/2BP4/5N2/PP3PPP/RNBQK2R,black pieces closer to the camera
game4_frame_000924_white_middle.png,r1bqkb1r/pp2pppp/2n5/3np3/2BP4/5N2/PP3PPP/RNBQK2R,white pieces closer to the camera
game4_frame_000964_black_middle.png,r1bqkb1r/pp2pppp/2n5/3nP3/2B5/5N2/PP3PPP/RNBQK2R,black pieces closer to the camera
game4_frame_000964_white_middle.png,r1bqkb1r/pp2pppp/2n5/3nP3/2B5/5N2/PP3PPP/RNBQK2R,white pieces closer to the camera
game4_frame_001320_black_middle.png,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQK2R,black pieces closer to the camera
game4_frame_001320_white_middle.png,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQK2R,white pieces closer to the camera
game4_frame_001396_black_middle.png,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,black pieces closer to the camera
game4_frame_001396_white_middle.png,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,white pieces closer to the camera
game4_frame_001544_black_middle.png,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,black pieces closer to the camera
game4_frame_001544_white_middle.png,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1,white pieces closer to the camera
game4_frame_001664_black_middle.png,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,black pieces closer to the camera
game4_frame_001664_white_middle.png,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,white pieces closer to the camera
game4_frame_002156_black_middle.png,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,black pieces closer to the camera
game4_frame_002156_white_middle.png,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1,white pieces closer to the camera
game4_frame_003232_black_middle.png,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,black pieces closer to the camera
game4_frame_003232_white_middle.png,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,white pieces closer to the camera
game4_frame_003748_black_middle.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,black pieces closer to the camera
game4_frame_003748_white_middle.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1,white pieces closer to the camera
game4_frame_004284_black_middle.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_004284_white_middle.png,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_004660_black_middle.png,r2q1rk1/ppn1ppbp/2n1b1p1/4P3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_004660_white_middle.png,r2q1rk1/ppn1ppbp/2n1b1p1/4P3/2B5/1Q3N2/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_004880_black_middle.png,r2q1rk1/pp2ppbp/2n1n1p1/4P3/8/1Q3N2/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_004880_white_middle.png,r2q1rk1/pp2ppbp/2n1n1p1/4P3/8/1Q3N2/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_005968_black_middle.png,r2q1rk1/pQ2ppbp/2n1n1p1/4P3/8/5N2/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_005968_white_middle.png,r2q1rk1/pQ2ppbp/2n1n1p1/4P3/8/5N2/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_006504_black_middle.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3n4/5N2/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_006504_white_middle.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3n4/5N2/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_006656_black_middle.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3N4/8/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_006656_white_middle.png,r2q1rk1/pQ2ppbp/4n1p1/4P3/3N4/8/PP1B1PPP/RN2R1K1,white pieces closer to the camera
game4_frame_006856_black_middle.png,r2q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,black pieces closer to the camera
game4_frame_006856_white_middle.png,r2q1rk1/p3ppbp/6p1/4P3/3nQ3/8/PP1B1PPP/RN2R1K1,white pieces closer to the camera
